1,11,14,18,24,22,25,20,28,25,15,16,28,25,22,24,25,26,11,24,24,24,15,20,15,14,6,19,25,23,22,12,19,23,23,15,13,13,17,26,12,21,26,23,22,23,13,23,28,27,22,20,20,23,12,31,15,22,15,34,19,18,12,12,32,19,16,27,16,19,13,24,29,21,15,23,24,18,17,20,22,33,22,22,21,22,34,23,11,15,27,23,23,22,26,15,7,31,22,22,12
2,27,22,25,29,22,30,22,34,37,24,25,33,30,32,30,25,28,26,20,31,29,28,16,22,25,10,26,31,29,26,16,25,20,23,25,20,25,26,30,16,20,28,31,23,25,26,24,27,27,24,19,22,23,14,28,30,24,28,28,25,14,16,14,25,24,28,31,23,27,12,22,28,25,16,27,31,26,23,28,22,30,22,33,27,33,25,26,27,14,35,31,25,23,30,28,11,27,14,29,27
3,35,31,28,24,22,31,28,27,28,28,31,26,28,35,35,28,24,33,28,37,32,28,33,32,33,1,26,34,29,21,13,25,19,26,32,33,34,26,31,18,24,30,29,27,24,35,27,25,18,28,21,31,23,21,26,37,30,28,27,21,18,13,20,33,34,30,27,26,26,15,28,26,21,15,29,26,22,27,25,23,26,25,37,18,33,26,31,35,18,28,31,29,21,32,32,3,27,18,38,34
4,26,31,24,28,22,24,24,21,20,22,21,26,26,20,19,23,28,23,31,19,40,21,32,30,25,10,25,16,20,17,27,30,17,23,23,29,22,25,37,20,22,25,18,29,32,24,25,29,30,25,23,28,21,24,28,27,23,24,23,15,20,27,23,19,31,24,26,26,27,20,34,16,16,27,16,17,19,23,20,21,25,26,20,20,18,26,16,26,24,20,18,30,17,22,27,15,28,17,18,24
5,15,18,21,16,29,23,24,23,25,21,17,21,22,23,24,19,15,15,14,24,19,20,20,20,16,7,15,29,27,10,8,25,10,22,18,19,17,19,19,6,21,24,25,16,16,16,21,23,16,21,26,20,19,6,21,16,21,19,23,23,14,8,5,27,19,18,18,22,15,8,16,24,12,9,26,26,24,22,25,18,20,15,22,14,23,22,27,15,8,25,28,18,12,21,17,7,21,14,21,14
6,19,17,20,17,12,16,11,19,21,14,16,17,19,17,21,17,27,18,17,20,26,21,19,17,18,2,30,20,20,19,5,20,21,12,14,22,13,29,25,13,14,16,13,25,21,19,12,14,24,17,9,20,18,14,23,16,13,34,23,9,11,5,14,23,22,33,24,17,30,12,16,12,16,10,11,10,11,12,15,19,26,21,15,24,17,19,11,19,13,21,14,27,18,13,18,2,22,13,15,18
7,24,32,37,27,27,23,33,32,31,32,19,22,20,21,23,32,37,21,31,23,40,38,33,34,26,5,29,37,42,30,17,35,29,32,17,38,20,32,42,21,31,23,29,30,32,22,30,24,31,32,25,30,20,21,21,24,29,33,24,29,19,16,20,34,38,32,19,35,29,19,32,28,30,18,26,30,33,32,34,22,32,30,21,30,23,31,27,24,21,31,27,33,30,20,24,7,23,23,21,23
8,24,26,26,21,26,28,30,20,21,24,24,31,31,21,24,35,20,24,30,22,18,26,28,25,28,9,25,23,20,15,20,26,13,27,23,22,23,26,19,14,24,29,15,26,23,27,19,17,19,27,24,31,26,18,30,24,34,26,28,14,17,19,18,31,24,27,28,25,25,15,30,23,15,19,22,17,14,29,16,27,25,24,21,19,22,23,20,25,17,21,21,26,13,27,27,14,27,12,18,25
9,16,26,24,21,25,26,22,23,21,25,13,27,27,25,29,31,33,14,33,23,31,19,28,25,17,4,30,19,19,17,14,24,15,29,13,26,16,23,33,19,27,26,26,32,25,16,29,23,29,28,23,27,17,20,29,19,29,23,28,23,19,14,20,30,26,23,27,23,30,17,33,30,16,17,29,26,18,27,21,17,23,29,26,18,28,22,28,16,19,21,28,32,16,27,16,6,25,15,23,15
10,22,24,17,23,19,24,19,25,23,16,20,20,19,27,25,22,21,22,23,26,25,18,25,25,24,10,22,23,22,28,21,18,23,16,21,23,20,21,24,19,18,23,23,24,21,20,22,23,23,18,18,24,29,21,19,24,24,21,22,23,19,21,21,30,23,19,21,18,22,18,25,19,27,22,19,25,21,16,23,31,25,22,21,33,24,25,19,22,20,23,17,25,28,21,19,13,22,17,24,22
