1,12,8,6,1,6,9,0,4,0,5,0,5,18,0,6,6,0,0,17,8,3,3,15,22,4,0,0,0,3,15,0,0,0,1,5,0,10,4,0,2,0,7,2,0,0,0,0,5,4,0,0,3,4,16,17,4,7,10,9,0,7,0,7,0,17,0,1,10,3,4,11,2,14,9,0,6,3,5,23,10,10,0,0,0,16,18,0,4,7,1,6,0,0,7,0,0,2,7,26,0
2,6,13,3,1,14,9,3,9,1,6,2,12,9,1,9,10,1,0,22,5,11,4,16,25,2,2,2,0,11,21,7,0,3,9,12,0,15,10,2,7,4,5,5,1,3,0,0,10,12,1,0,6,8,20,28,9,12,17,16,1,14,3,16,1,11,0,9,13,6,4,16,3,15,13,0,10,2,11,18,22,20,0,0,0,15,27,6,18,8,2,11,0,4,6,0,0,3,14,21,3
3,14,12,8,5,8,9,0,4,0,9,0,7,14,0,4,9,0,0,23,11,15,4,22,28,5,0,3,1,8,18,5,0,1,5,4,1,20,6,0,1,3,6,4,1,0,0,0,5,12,0,0,7,7,28,22,3,9,13,16,0,14,1,12,0,16,2,4,14,4,0,10,5,17,6,0,7,4,10,16,11,10,0,0,0,16,25,2,18,10,1,3,0,6,5,0,0,0,16,23,0
4,4,7,4,4,6,13,6,5,2,4,1,13,16,1,11,9,2,0,31,7,10,3,10,16,3,0,0,1,7,15,3,0,0,4,11,0,11,8,0,1,3,8,3,2,4,0,1,1,7,0,1,3,4,20,13,9,15,12,12,0,13,0,15,0,16,0,7,12,4,1,15,2,15,19,1,12,2,9,13,19,11,0,1,2,13,15,3,9,8,9,4,0,0,4,0,0,3,11,18,4
5,4,6,2,2,13,1,0,3,0,0,0,7,11,0,5,7,0,0,15,4,6,3,13,19,5,0,0,0,5,15,1,0,0,3,3,0,15,5,0,0,1,5,3,0,0,0,0,5,3,0,0,4,3,15,26,4,4,5,15,0,7,0,7,0,10,0,2,4,0,1,7,0,8,1,0,6,0,9,14,13,16,0,0,0,7,26,1,10,5,0,7,0,0,4,0,0,0,9,14,0
6,6,12,0,0,5,3,0,0,0,2,0,8,11,0,1,13,0,0,19,4,2,1,14,15,4,0,0,2,3,6,1,0,0,2,8,0,7,3,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,15,15,3,4,8,7,0,13,0,7,0,5,0,0,11,0,0,5,0,12,10,0,1,0,2,12,8,6,0,0,0,14,16,1,12,5,1,6,0,0,0,0,0,0,9,15,0
7,9,14,4,5,15,15,2,9,0,11,0,7,23,0,7,13,4,0,29,9,17,5,13,27,3,1,0,0,6,18,0,0,0,6,10,0,17,15,0,8,0,6,4,2,4,0,0,7,11,0,0,2,2,19,23,8,11,7,15,0,4,1,10,0,18,0,9,16,6,9,13,2,23,11,0,9,5,9,22,9,17,0,0,1,23,34,1,10,10,5,9,0,0,6,1,0,6,9,28,4
8,10,8,0,3,7,10,0,5,0,0,1,7,8,0,4,8,1,0,11,8,12,6,18,14,7,1,0,0,8,20,6,0,2,8,9,1,17,12,1,3,1,2,4,0,1,0,0,3,9,0,0,8,9,17,17,5,15,6,17,0,8,1,8,0,13,1,4,14,1,3,15,1,12,8,0,5,0,10,17,20,14,0,0,0,11,17,4,16,5,3,7,0,2,2,0,0,3,8,14,0
9,11,10,2,4,7,9,0,4,0,4,0,8,11,0,1,5,0,0,18,8,13,0,16,21,3,0,0,2,9,20,2,0,0,4,9,0,14,14,0,3,0,6,3,4,0,0,0,6,10,0,0,7,3,16,17,5,10,5,16,0,7,0,9,0,8,0,2,12,2,4,10,2,16,4,0,5,3,8,12,16,13,0,0,0,10,14,2,10,5,1,6,0,0,7,0,0,0,13,15,0
10,8,7,6,0,18,4,0,4,0,1,0,3,18,0,5,20,0,0,15,7,11,9,14,14,1,0,0,0,13,13,1,0,0,4,4,0,12,8,0,4,0,5,2,0,0,0,0,2,8,0,0,5,4,16,16,2,16,14,9,0,10,0,11,0,15,0,4,14,2,3,17,0,15,8,0,6,0,8,18,10,18,0,0,0,10,20,0,12,12,0,12,0,0,4,0,0,0,12,23,0
11,7,16,9,3,6,6,0,4,0,8,0,11,13,0,4,11,1,0,17,8,10,2,14,29,3,1,0,0,17,21,6,0,0,4,5,0,18,9,0,1,3,5,7,3,0,0,0,9,9,1,0,6,8,25,19,4,13,9,16,0,14,0,7,0,10,0,3,12,5,1,12,5,12,11,0,5,5,12,17,15,13,0,0,1,14,25,5,11,10,3,7,0,0,6,0,0,1,6,12,0
12,3,11,6,5,10,10,3,7,2,0,2,9,16,0,7,8,1,0,21,5,14,4,16,24,4,0,2,1,8,19,3,0,7,5,5,1,18,7,1,5,7,5,5,0,4,1,0,9,10,0,1,5,11,24,26,7,7,9,20,4,13,0,17,0,12,1,9,13,2,3,8,6,10,8,0,9,0,10,18,15,18,4,0,0,14,26,6,11,9,6,9,1,3,7,1,0,5,8,18,4
