1,25,10,3,0,0,11,14,13,0,0,10,0,0,40,0,1,0,6,13,16,0,7,7,29,0,0,0,22,19,18,14,28,30,21,7,33,6,29,0,29,0,0,18,12,33,0,12,0,0,0,12,0,0,0,0,0,23,0,0,9,19,25,0,25,30,0,0,0,0,27,0,10,12,9,0,0,0,0,18,0,2,9,1,0,2,0,8,0,21,0,0,32,12,13,4,28,0,0,5,14
2,35,4,6,0,1,20,22,15,0,0,9,0,0,31,0,0,0,4,7,13,2,8,15,37,0,0,1,37,21,24,17,25,22,26,2,24,4,23,0,26,0,0,18,22,29,0,8,0,0,0,8,0,0,0,0,0,13,0,0,9,25,24,0,23,35,0,0,0,0,27,0,14,15,18,0,0,0,0,19,0,1,13,1,0,3,0,11,1,19,0,0,31,17,19,17,32,0,0,5,5
3,31,5,4,0,0,19,18,11,0,0,17,0,0,30,0,0,1,6,10,18,1,3,7,33,0,0,0,35,17,26,9,24,23,24,6,27,4,19,0,29,0,0,20,21,33,0,8,1,0,0,12,0,0,0,0,0,13,1,0,13,23,25,0,21,33,2,0,0,0,32,0,10,13,8,0,0,0,0,18,0,3,10,1,0,1,0,15,2,18,0,5,23,14,16,7,24,0,0,7,8
4,21,8,5,0,0,20,21,15,0,0,9,0,0,41,0,0,0,5,8,18,0,7,13,40,0,0,0,21,19,18,14,16,18,27,5,30,6,32,0,18,0,0,15,7,16,0,14,0,0,0,15,1,0,0,0,0,15,0,0,10,13,19,0,16,40,0,0,0,0,25,0,4,11,18,0,0,0,0,15,0,3,14,2,0,3,0,3,3,12,0,0,24,15,12,7,31,0,0,7,11
5,31,5,3,0,0,21,22,11,0,0,7,0,0,33,0,2,0,4,7,16,3,9,12,34,0,0,0,28,20,26,12,22,22,23,6,30,7,20,0,23,0,0,28,21,32,1,12,2,0,0,17,4,0,0,0,0,12,0,0,8,22,26,0,17,32,0,0,0,0,28,1,17,18,14,0,0,0,0,21,0,2,6,1,0,3,0,15,0,24,0,0,25,14,12,7,27,0,0,11,11
6,35,6,2,0,0,17,20,21,0,0,15,0,0,29,0,0,0,2,4,20,1,6,7,29,0,0,0,19,14,27,11,32,27,25,6,42,9,23,0,23,0,0,26,17,31,0,9,1,0,0,13,0,0,0,0,0,17,0,0,13,21,22,0,23,35,1,0,0,0,33,0,10,13,13,0,0,0,0,16,0,5,17,2,0,4,0,11,0,25,0,2,13,12,17,10,26,0,0,9,13
7,28,0,1,0,0,14,18,16,0,0,13,0,0,43,0,1,0,2,6,14,1,7,11,41,0,0,0,28,11,23,16,28,30,18,5,23,4,26,0,27,0,0,30,18,28,0,13,1,0,0,8,0,0,0,0,0,18,0,0,17,23,31,0,19,33,0,0,0,0,25,0,12,16,13,0,0,0,0,21,0,2,6,1,0,3,0,11,0,22,0,1,18,9,15,0,23,0,0,10,17
8,29,8,3,0,0,13,18,20,0,0,13,0,0,39,0,2,0,1,2,18,1,7,9,41,0,0,0,30,19,29,12,30,26,27,8,28,10,28,0,36,0,0,26,15,31,0,11,1,0,0,15,2,0,0,0,0,16,1,0,13,24,24,0,33,39,0,0,0,0,30,0,14,18,11,0,0,0,0,16,0,5,11,1,0,4,0,13,2,28,0,3,18,14,10,2,31,0,0,17,11
9,24,14,3,0,0,16,22,24,0,0,11,0,0,23,0,2,0,2,7,21,2,7,8,37,0,0,0,37,18,22,11,32,32,28,9,28,13,24,0,26,0,0,29,26,23,0,13,1,0,0,12,1,0,0,0,0,20,0,0,14,30,19,0,19,48,1,0,0,0,33,0,16,22,11,0,0,0,0,17,0,3,9,1,0,3,0,16,3,21,0,2,26,15,9,9,34,0,0,16,17
10,19,6,2,0,1,22,18,15,0,0,6,0,0,38,0,2,1,2,2,14,1,5,12,37,0,0,0,22,13,19,14,16,14,18,1,31,10,20,0,26,0,0,20,17,33,0,6,2,0,0,9,0,0,0,0,0,14,0,0,14,17,19,0,27,29,0,0,0,0,24,0,7,16,14,0,0,0,0,15,0,1,6,0,0,3,0,11,0,22,0,0,18,11,15,6,26,1,0,14,12
11,33,4,3,0,0,27,29,20,0,0,19,0,0,32,0,1,0,7,11,12,2,6,13,37,0,0,0,31,20,24,14,32,30,14,7,34,6,28,0,27,0,0,16,19,37,0,18,1,0,0,12,1,0,0,0,0,23,1,0,13,21,32,0,27,37,3,0,0,0,34,0,9,11,17,0,0,0,0,23,0,4,4,1,0,1,0,12,3,21,0,5,29,15,13,5,16,1,0,13,14
12,25,15,3,0,0,33,32,14,0,0,19,0,1,44,0,3,2,4,5,16,4,11,10,29,0,1,0,30,16,19,11,29,30,27,8,37,9,30,0,43,0,0,22,21,31,0,16,2,1,0,15,3,0,0,0,1,23,0,0,13,25,18,0,38,34,1,0,0,0,26,0,13,21,22,1,0,0,4,16,0,1,12,8,0,7,0,15,3,22,0,1,22,28,13,9,29,0,0,6,14
13,26,5,5,0,0,18,20,21,0,0,20,0,0,38,0,0,0,1,8,15,2,6,6,36,0,0,0,36,21,26,9,30,31,31,1,28,12,28,0,29,0,0,25,25,32,0,9,4,0,0,13,2,0,0,0,0,21,0,0,15,30,20,0,26,38,0,0,0,0,22,0,16,19,11,0,0,0,1,17,0,3,14,2,0,1,0,21,2,21,0,4,28,13,13,5,39,1,0,19,17
