WKT,id,Loc_code,Site_code,CODE,X_max,X_min,Y_max,Y_min
"POLYGON ((748151.04511599 1302287.59589994,748193.024448234 1302255.11971899,748236.882638529 1302221.0568427,748258.236943569 1302226.51476836,748316.362341259 1302185.36054098,748380.217862289 1302140.34552875,748370.209777024 1302127.68472069,748266.781133991 1302201.71670499,748253.783331871 1302211.71731382,748232.326543207 1302204.65600874,748140.827322452 1302276.28820068,748151.04511599 1302287.59589994))",1,sb,COTE,COTE,,,,
"POLYGON ((762658.581660793 1301984.86296353,762519.292696911 1301949.34023837,762371.912133902 1301884.46270364,762364.873896338 1301899.99264911,762379.336585512 1301905.98627291,762439.614612103 1301931.79958586,762508.452314214 1301961.58325447,762653.402985779 1302000.27061019,762658.581660793 1301984.86296353))",2,SB,FARO,FARO,,,,
"POLYGON ((739753.589165437 1298217.09051018,739895.250568667 1298200.8628852,739903.861466937 1298204.55027376,739969.096121442 1298193.41543916,739966.891791864 1298174.95417895,739901.964736899 1298188.01877633,739893.226338619 1298184.42049223,739751.384835859 1298200.6863528,739753.589165437 1298217.09051018))",3,SB,SAL,SAL,,,,
"POLYGON ((729510.250027108 1304479.98072718,729666.582930907 1304494.33971136,729795.708031502 1304501.38219831,729796.728457644 1304484.09866514,729671.871212404 1304478.25367091,729510.511579934 1304462.69719401,729510.250027108 1304479.98072718))",4,SW,DMS,DMS,,,,
"POLYGON ((724244.524825944 1307125.19545456,724311.338285413 1307089.51511085,724380.271082093 1307072.91779058,724516.960346261 1307048.54924968,724514.561427511 1307032.27109413,724380.496860118 1307057.37462203,724303.343468268 1307074.77856922,724235.418346157 1307110.77686156,724244.524825944 1307125.19545456))",5,SW,CYA,CYA,,,,
"POLYGON ((740270.790942417 1312600.46642694,740458.327385977 1312607.96560305,740499.873465432 1312625.92320009,740504.523923636 1312609.95234339,740462.036960291 1312591.26988133,740270.790942417 1312583.01234068,740270.790942417 1312600.46642694))",6,N,IL,IL,,,,
"POLYGON ((737000.42638864 1314891.31524855,737135.617411411 1314948.40597837,737192.942957112 1314992.97662616,737240.230356384 1315024.11807879,737248.957399514 1315007.8023025,737204.208106267 1314978.54862982,737147.779149249 1314934.74883939,737006.876811823 1314877.27609221,737000.42638864 1314891.31524855))",7,N,YNQ,YNQ,,,,
"POLYGON ((746484.567949731 1318711.21384141,746648.197914449 1318711.22338784,746723.760423456 1318731.53096114,746762.028646618 1318743.56317564,746768.643707637 1318728.36845079,746726.336520289 1318715.08816776,746646.817756711 1318693.52946966,746485.137104718 1318693.72995637,746484.567949731 1318711.21384141))",9,N,NOR,NOR,,,,
